OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025DC,2025-04-06T19:56:50.644608,14.28705597,.006744,99.2304,119.4165,18.6501,154.6571,0,U,29810,999,94808,.7011E-3,.1758E-4,0
FENGYUN 1C DEB,1999-025DE,2025-03-29T13:52:26.006592,14.00955932,.0145432,98.3762,298.8412,336.4869,84.3542,0,U,29812,999,92577,.17716E-2,.2867E-4,0
FENGYUN 1C DEB,1999-025DF,2025-04-06T14:00:27.662400,14.09365015,.0011981,98.7470,123.8511,208.2421,282.8060,0,U,29813,999,93736,.16317E-3,.242E-5,0
FENGYUN 1C DEB,1999-025DH,2025-04-06T14:01:42.689568,14.61219588,.0189449,98.0634,110.9459,201.6144,157.6984,0,U,29815,999,96199,.9223E-3,.5816E-4,0
FENGYUN 1C DEB,1999-025DJ,2025-04-06T20:07:55.687872,14.41370806,.0246701,99.0238,302.4653,198.4628,172.9633,0,U,29816,999,94584,.25644E-2,.11911E-3,0
FENGYUN 1C DEB,1999-025DK,2025-04-06T22:34:01.659072,14.13864121,.0012182,98.5446,96.9003,12.6611,7.1721,0,U,29817,999,93865,.63345E-3,.116E-4,0
FENGYUN 1C DEB,1999-025DL,2025-04-06T21:57:43.547904,14.04299523,.0115215,98.7561,343.5749,6.9216,2.6993,0,U,29818,999,93303,.3999E-3,.632E-5,0
FENGYUN 1C DEB,1999-025DM,2025-04-06T21:54:29.808864,14.01875879,.019197,98.7133,91.2704,46.2321,13.2071,0,U,29819,999,93119,.92429E-3,.1612E-4,0
FENGYUN 1C DEB,1999-025DN,2025-04-06T23:14:30.539328,14.02161328,.0072658,98.8387,111.5520,213.5452,176.6341,0,U,29820,999,93059,.10731E-2,.1637E-4,0
FENGYUN 1C DEB,1999-025DP,2025-04-06T15:33:24.139584,14.09316067,.0383098,98.9015,153.8823,107.8330,14.2406,0,U,29821,999,92986,.18567E-2,.6367E-4,0
FENGYUN 1C DEB,1999-025DV,2025-04-06T12:43:03.262368,14.21248761,.0025054,98.5894,94.2983,328.0367,155.0225,0,U,29827,999,94308,.72243E-3,.1536E-4,0
FENGYUN 1C DEB,1999-025DW,2025-04-06T09:54:15.948576,14.07396284,.0063048,98.7900,148.7420,141.3410,231.0581,0,U,29828,999,93215,.19899E-2,.3366E-4,0
FENGYUN 1C DEB,1999-025EA,2025-04-06T19:55:29.452800,14.55982730,.0194164,98.8045,194.0672,325.1213,33.7384,0,U,29832,999,96618,.24258E-3,.1312E-4,0
FENGYUN 1C DEB,1999-025EB,2025-04-06T18:40:27.644736,14.84066177,.0102701,99.0513,43.9144,332.2075,27.3670,0,U,29833,999,96880,.26667E-2,.24423E-3,0
FENGYUN 1C DEB,1999-025ED,2025-04-06T20:23:23.299008,14.43096912,.0168799,98.9950,210.7769,58.4953,57.7973,0,U,29835,999,95890,.25583E-3,.964E-5,0
FENGYUN 1C DEB,1999-025EE,2025-04-06T19:37:01.238016,14.52599444,.0157165,98.1795,198.4046,254.1627,233.0684,0,U,29836,999,59925,.97267E-3,.463E-4,0
FENGYUN 1C DEB,1999-025EK,2025-04-06T18:26:23.315424,14.45427192,.0203984,98.7928,34.3212,3.4648,50.1678,0,U,29841,999,95711,.11089E-2,.4993E-4,0
FENGYUN 1C DEB,1999-025EL,2025-04-06T21:49:59.219616,14.56789687,.0115156,98.5765,176.5783,213.8323,206.4430,0,U,29842,999,95712,.23089E-2,.11272E-3,0
FENGYUN 1C DEB,1999-025EM,2025-04-06T11:18:55.782144,14.28053970,.0192717,99.0515,285.6039,294.6629,93.0597,0,U,29843,999,94709,.80709E-3,.2391E-4,0
FENGYUN 1C DEB,1999-025EN,2025-04-06T22:28:55.750368,14.31013644,.0170277,98.9577,350.7113,175.5068,184.7690,0,U,29844,999,94767,.83468E-3,.2525E-4,0
FENGYUN 1C DEB,1999-025EP,2025-04-06T22:18:40.697280,14.25611597,.0079356,98.5193,104.1019,141.6337,292.9072,0,U,29845,999,94549,.10697E-2,.2577E-4,0
FENGYUN 1C DEB,1999-025EQ,2025-04-06T21:49:20.819136,14.18914925,.0083911,98.6854,144.0841,303.7487,232.1910,0,U,29846,999,94316,.24816E-3,.491E-5,0
FENGYUN 1C DEB,1999-025ER,2025-04-06T18:38:48.018624,14.02790736,.008547,98.8944,98.2868,15.5162,158.2017,0,U,29847,999,93230,.40249E-3,.6E-5,0
FENGYUN 1C DEB,1999-025ES,2025-04-06T15:33:32.626656,14.18997464,.0118918,98.2763,339.7705,304.7784,107.3579,0,U,29848,999,93569,.23484E-2,.522E-4,0
FENGYUN 1C DEB,1999-025ET,2025-04-06T20:56:36.306816,14.03890380,.0080941,99.0143,183.0895,20.2262,47.1549,0,U,29849,999,92869,.18475E-2,.2958E-4,0
FENGYUN 1C DEB,1999-025EU,2025-04-06T20:01:57.869184,13.98793983,.0102155,98.1075,51.7836,277.5753,145.0921,0,U,29850,999,92525,.27264E-2,.4068E-4,0
FENGYUN 1C DEB,1999-025EV,2025-04-06T16:26:23.175744,13.83380035,.0143211,99.6131,132.4460,166.9297,318.1704,0,U,29851,999,91909,.55991E-3,.62E-5,0
FENGYUN 1C DEB,1999-025EW,2025-04-06T22:29:10.379616,14.05039898,.0139726,99.3729,97.9859,118.7617,273.0027,0,U,29852,999,92474,.38623E-2,.6751E-4,0
FENGYUN 1C DEB,1999-025EX,2025-04-06T20:10:11.373888,13.92813247,.0163134,98.4359,239.9135,196.6165,162.9614,0,U,29853,999,92189,.29947E-2,.4289E-4,0
FENGYUN 1C DEB,1999-025EY,2025-04-06T22:51:37.331424,13.83104802,.0147035,98.9088,270.9988,4.1315,148.7495,0,U,29854,999,91890,.50203E-3,.556E-5,0
FENGYUN 1C DEB,1999-025EZ,2025-04-06T20:49:08.086080,13.99607481,.0194214,98.1748,64.4574,34.1329,28.7141,0,U,29855,999,92214,.56384E-2,.9664E-4,0
FENGYUN 1C DEB,1999-025FA,2025-04-06T22:24:38.846880,14.39187188,.0289309,98.6914,185.5495,326.6663,83.7743,0,U,29856,999,92772,.32999E-2,.16708E-3,0
